Time,Gas1,Liquid1,Gas2
172.123,-0.638291,-21.456363,11.789823
172.49,-0.631955,-21.433166,11.792955
172.857,-0.605526,-21.450991,11.798659
173.224,-0.598882,-21.467707,11.800552
173.591,-0.567645,-21.467578,11.808292
173.958,-0.532982,-21.449486,11.827294
174.325,-0.520888,-21.425073,11.853782
174.692,-0.501055,-21.447463,11.847152
175.059,-0.481075,-21.453703,11.85207
175.426,-0.479657,-21.433951,11.882982
175.793,-0.424067,-21.426401,11.891244
176.16,-0.399494,-21.435158,11.912671
176.527,-0.390704,-21.423327,11.896959
176.894,-0.371521,-21.399916,11.923888
177.261,-0.348438,-21.431217,11.918713
177.628,-0.330989,-21.414613,11.920444
177.995,-0.31565,-21.416424,11.957656
178.362,-0.303861,-21.404611,11.945098
178.729,-0.251817,-21.407999,11.967213
179.096,-0.256907,-21.432303,11.96543
179.463,-0.242033,-21.420343,11.967617
179.83,-0.208895,-21.425288,12.00164
180.197,-0.17871,-21.43642,12.000156
180.564,-0.187168,-21.415272,12.00449
180.931,-0.134481,-21.43993,12.02056
181.298,-0.118851,-21.427319,12.036362
181.665,-0.110204,-21.422201,12.059241
182.032,-0.071521,-21.394172,12.031349
182.399,-0.029944,-21.403425,12.042022
182.766,-0.036501,-21.394862,12.050818
183.133,0.008948,-21.370758,12.055751
183.5,0.032422,-21.388986,12.096477
183.867,0.041702,-21.359433,12.108434
184.234,0.057111,-21.361187,12.095399
184.601,0.087399,-21.346461,12.112275
184.968,0.107782,-21.393357,12.122962
185.335,0.124025,-21.37378,12.108882
185.702,0.146309,-21.359264,12.124343
186.069,0.177568,-21.384342,12.137476
186.436,0.172667,-21.368434,12.142273
186.803,0.205637,-21.363579,12.144837
187.17,0.246834,-21.341417,12.158437
187.537,0.259335,-21.334752,12.163798
187.904,0.287969,-21.316573,12.170593
188.271,0.327608,-21.300434,12.170352
188.638,0.32475,-21.316056,12.181491
189.005,0.371676,-21.282519,12.214114
189.372,0.388975,-21.295782,12.206279
189.739,0.398722,-21.258661,12.205096
190.106,0.409623,-21.276346,12.191636
190.473,0.470108,-21.255144,12.239091
190.84,0.473187,-21.244661,12.245821
191.207,0.503552,-21.2422,12.25976
191.574,0.512509,-21.242773,12.256293
191.941,0.535783,-21.238127,12.272151
192.308,0.577473,-21.246846,12.276232
192.675,0.574577,-21.250454,12.283538
193.042,0.618924,-21.237415,12.286301
193.409,0.632236,-21.231213,12.26935
193.776,0.660633,-21.233618,12.30403
194.143,0.697968,-21.224204,12.289442
194.51,0.732911,-21.229045,12.300792
194.877,0.736739,-21.19328,12.307447
195.244,0.765689,-21.214726,12.32976
195.611,0.798185,-21.227937,12.327275
195.978,0.813117,-21.239509,12.318938
196.345,0.839478,-21.24488,12.337923
196.712,0.873361,-21.278388,12.370025
197.079,0.909207,-21.247866,12.350088
197.446,0.908955,-21.235268,12.372677
197.813,0.962685,-21.260219,12.369036
198.18,0.984182,-21.257478,12.367403
198.547,0.981016,-21.243482,12.39034
198.914,1.023323,-21.245012,12.397285
199.281,1.033875,-21.264262,12.410167
199.648,1.073661,-21.26887,12.384526
200.015,1.078464,-21.263598,12.420386
200.382,1.098176,-21.271236,12.400862
200.749,1.16811,-21.253882,12.430004
201.116,1.172074,-21.272287,12.434533
201.483,1.18073,-21.283313,12.428658
201.85,1.213848,-21.283999,12.434975
202.217,1.237775,-21.283529,12.440086
202.584,1.261537,-21.289201,12.462758
202.951,1.311882,-21.30512,12.463275
203.318,1.317539,-21.315181,12.467056
203.685,1.341172,-21.376487,12.46291
204.052,1.365185,-21.42326,12.503991
204.419,1.384659,-21.463945,12.468548
204.786,1.421066,-21.478044,12.486177
205.153,1.428882,-21.536891,12.497588
205.52,1.461976,-21.585782,12.495943
205.887,1.489352,-21.629696,12.518025
206.254,1.504924,-21.680811,12.505221
206.621,1.510581,-21.716954,12.529237
206.988,1.547712,-21.782184,12.517324
207.355,1.571045,-21.818251,12.526414
207.722,1.598514,-21.836337,12.520502
208.089,1.59806,-21.881909,12.534939
208.456,1.644063,-21.905041,12.56282
208.823,1.683134,-21.923924,12.542043
209.19,1.692184,-21.943265,12.556606
209.557,1.721315,-21.968911,12.530089
209.924,1.723899,-21.992038,12.567628
210.291,1.763448,-22.006659,12.578713
210.658,1.779364,-22.03416,12.596075
211.025,1.798077,-22.03321,12.607962
211.392,1.808416,-22.068408,12.582104
211.759,1.824448,-22.046149,12.588403
212.126,1.862538,-22.074662,12.587312
212.493,1.891878,-22.079682,12.610312
212.86,1.896866,-22.095307,12.608377
213.227,1.932576,-22.083946,12.620177
213.594,1.959198,-22.085521,12.640402
213.961,1.957174,-22.092527,12.636515
214.328,1.975397,-22.100995,12.659046
214.695,1.996473,-22.094374,12.659622
215.062,2.021408,-22.106421,12.636652
